id,api_id,circuit_id,date,is_cancelled,name,number,race_number,season_id,wikipedia
139,round_drwSLVgb,7,1965-09-12,f,Italian Grand Prix,8,139,16,https://en.wikipedia.org/wiki/1965_Italian_Grand_Prix
140,round_EkpHRZJm,21,1965-10-03,f,United States Grand Prix,9,140,16,https://en.wikipedia.org/wiki/1965_United_States_Grand_Prix
141,round_6zCAPc9Y,23,1965-10-24,f,Mexican Grand Prix,10,141,16,https://en.wikipedia.org/wiki/1965_Mexican_Grand_Prix
142,round_dHjd8ouR,2,1966-05-22,f,Monaco Grand Prix,1,142,17,https://en.wikipedia.org/wiki/1966_Monaco_Grand_Prix
143,round_vEMbbTBZ,5,1966-06-12,f,Belgian Grand Prix,2,143,17,https://en.wikipedia.org/wiki/1966_Belgian_Grand_Prix
144,round_P3qibEc1,6,1966-07-03,f,French Grand Prix,3,144,17,https://en.wikipedia.org/wiki/1966_French_Grand_Prix
145,round_4Z3ouhF9,24,1966-07-16,f,British Grand Prix,4,145,17,https://en.wikipedia.org/wiki/1966_British_Grand_Prix
146,round_Wlg2ACv4,11,1966-07-24,f,Dutch Grand Prix,5,146,17,https://en.wikipedia.org/wiki/1966_Dutch_Grand_Prix
147,round_4qECoeip,8,1966-08-07,f,German Grand Prix,6,147,17,https://en.wikipedia.org/wiki/1966_German_Grand_Prix
148,round_RFJ1HuUP,7,1966-09-04,f,Italian Grand Prix,7,148,17,https://en.wikipedia.org/wiki/1966_Italian_Grand_Prix
149,round_hMsGZPXn,21,1966-10-02,f,United States Grand Prix,8,149,17,https://en.wikipedia.org/wiki/1966_United_States_Grand_Prix
150,round_bkFrJdrr,23,1966-10-23,f,Mexican Grand Prix,9,150,17,https://en.wikipedia.org/wiki/1966_Mexican_Grand_Prix
151,round_bQx3hTV9,27,1967-01-02,f,South African Grand Prix,1,151,18,https://en.wikipedia.org/wiki/1967_South_African_Grand_Prix
152,round_KLM7Tc2t,2,1967-05-07,f,Monaco Grand Prix,2,152,18,https://en.wikipedia.org/wiki/1967_Monaco_Grand_Prix
153,round_kAQU03lT,11,1967-06-04,f,Dutch Grand Prix,3,153,18,https://en.wikipedia.org/wiki/1967_Dutch_Grand_Prix
154,round_YXaWfZ7Q,5,1967-06-18,f,Belgian Grand Prix,4,154,18,https://en.wikipedia.org/wiki/1967_Belgian_Grand_Prix
155,round_Be1skrOQ,28,1967-07-02,f,French Grand Prix,5,155,18,https://en.wikipedia.org/wiki/1967_French_Grand_Prix
156,round_xowbmbzs,1,1967-07-15,f,British Grand Prix,6,156,18,https://en.wikipedia.org/wiki/1967_British_Grand_Prix
157,round_Ah5cEgB2,8,1967-08-06,f,German Grand Prix,7,157,18,https://en.wikipedia.org/wiki/1967_German_Grand_Prix
158,round_iju15vcr,29,1967-08-27,f,Canadian Grand Prix,8,158,18,https://en.wikipedia.org/wiki/1967_Canadian_Grand_Prix
159,round_yC8UApVU,7,1967-09-10,f,Italian Grand Prix,9,159,18,https://en.wikipedia.org/wiki/1967_Italian_Grand_Prix
160,round_sPuDrSlM,21,1967-10-01,f,United States Grand Prix,10,160,18,https://en.wikipedia.org/wiki/1967_United_States_Grand_Prix
161,round_xtwn41IP,23,1967-10-22,f,Mexican Grand Prix,11,161,18,https://en.wikipedia.org/wiki/1967_Mexican_Grand_Prix
162,round_C75SjngY,27,1968-01-01,f,South African Grand Prix,1,162,19,https://en.wikipedia.org/wiki/1968_South_African_Grand_Prix
163,round_VohvsOXE,30,1968-05-12,f,Spanish Grand Prix,2,163,19,https://en.wikipedia.org/wiki/1968_Spanish_Grand_Prix
164,round_Pp50bozj,2,1968-05-26,f,Monaco Grand Prix,3,164,19,https://en.wikipedia.org/wiki/1968_Monaco_Grand_Prix
165,round_lj2b4Sx6,5,1968-06-09,f,Belgian Grand Prix,4,165,19,https://en.wikipedia.org/wiki/1968_Belgian_Grand_Prix
166,round_OfNQZJW5,11,1968-06-23,f,Dutch Grand Prix,5,166,19,https://en.wikipedia.org/wiki/1968_Dutch_Grand_Prix
167,round_QqG8nMyr,10,1968-07-07,f,French Grand Prix,6,167,19,https://en.wikipedia.org/wiki/1968_French_Grand_Prix
168,round_Us8MVkRE,24,1968-07-20,f,British Grand Prix,7,168,19,https://en.wikipedia.org/wiki/1968_British_Grand_Prix
169,round_VlzJ8mBx,8,1968-08-04,f,German Grand Prix,8,169,19,https://en.wikipedia.org/wiki/1968_German_Grand_Prix
170,round_HcXZPL0X,7,1968-09-08,f,Italian Grand Prix,9,170,19,https://en.wikipedia.org/wiki/1968_Italian_Grand_Prix
171,round_f4162z7H,31,1968-09-22,f,Canadian Grand Prix,10,171,19,https://en.wikipedia.org/wiki/1968_Canadian_Grand_Prix
172,round_flhyZqHU,21,1968-10-06,f,United States Grand Prix,11,172,19,https://en.wikipedia.org/wiki/1968_United_States_Grand_Prix
173,round_01vqkhpI,23,1968-11-03,f,Mexican Grand Prix,12,173,19,https://en.wikipedia.org/wiki/1968_Mexican_Grand_Prix
174,round_I5Sun8P7,27,1969-03-01,f,South African Grand Prix,1,174,20,https://en.wikipedia.org/wiki/1969_South_African_Grand_Prix
175,round_XD1PAPAn,32,1969-05-04,f,Spanish Grand Prix,2,175,20,https://en.wikipedia.org/wiki/1969_Spanish_Grand_Prix
176,round_WfdMy98R,2,1969-05-18,f,Monaco Grand Prix,3,176,20,https://en.wikipedia.org/wiki/1969_Monaco_Grand_Prix
177,round_7T40Oo7Q,11,1969-06-21,f,Dutch Grand Prix,4,177,20,https://en.wikipedia.org/wiki/1969_Dutch_Grand_Prix
178,round_MYxPVpxY,26,1969-07-06,f,French Grand Prix,5,178,20,https://en.wikipedia.org/wiki/1969_French_Grand_Prix
179,round_PcgYGBTz,1,1969-07-19,f,British Grand Prix,6,179,20,https://en.wikipedia.org/wiki/1969_British_Grand_Prix
180,round_eP3KbRUO,8,1969-08-03,f,German Grand Prix,7,180,20,https://en.wikipedia.org/wiki/1969_German_Grand_Prix
181,round_EpnZ1Vkw,7,1969-09-07,f,Italian Grand Prix,8,181,20,https://en.wikipedia.org/wiki/1969_Italian_Grand_Prix
182,round_rZr726qD,29,1969-09-20,f,Canadian Grand Prix,9,182,20,https://en.wikipedia.org/wiki/1969_Canadian_Grand_Prix
183,round_PEQIfEnM,21,1969-10-05,f,United States Grand Prix,10,183,20,https://en.wikipedia.org/wiki/1969_United_States_Grand_Prix
184,round_oCAKBqPW,23,1969-10-19,f,Mexican Grand Prix,11,184,20,https://en.wikipedia.org/wiki/1969_Mexican_Grand_Prix
185,round_CkJgO381,27,1970-03-07,f,South African Grand Prix,1,185,21,https://en.wikipedia.org/wiki/1970_South_African_Grand_Prix
186,round_fnH0609Y,30,1970-04-19,f,Spanish Grand Prix,2,186,21,https://en.wikipedia.org/wiki/1970_Spanish_Grand_Prix
187,round_aQVu0VtO,2,1970-05-10,f,Monaco Grand Prix,3,187,21,https://en.wikipedia.org/wiki/1970_Monaco_Grand_Prix
188,round_y1Yb6DOk,5,1970-06-07,f,Belgian Grand Prix,4,188,21,https://en.wikipedia.org/wiki/1970_Belgian_Grand_Prix
189,round_rBy2oFSa,11,1970-06-21,f,Dutch Grand Prix,5,189,21,https://en.wikipedia.org/wiki/1970_Dutch_Grand_Prix
190,round_RB2FsXri,26,1970-07-05,f,French Grand Prix,6,190,21,https://en.wikipedia.org/wiki/1970_French_Grand_Prix
191,round_Aejj7hdD,24,1970-07-18,f,British Grand Prix,7,191,21,https://en.wikipedia.org/wiki/1970_British_Grand_Prix
192,round_nIi7V2TO,33,1970-08-02,f,German Grand Prix,8,192,21,https://en.wikipedia.org/wiki/1970_German_Grand_Prix
193,round_0ZXDvrL8,34,1970-08-16,f,Austrian Grand Prix,9,193,21,https://en.wikipedia.org/wiki/1970_Austrian_Grand_Prix
194,round_mpwnmZyJ,7,1970-09-06,f,Italian Grand Prix,10,194,21,https://en.wikipedia.org/wiki/1970_Italian_Grand_Prix
195,round_BdwgeMug,31,1970-09-20,f,Canadian Grand Prix,11,195,21,https://en.wikipedia.org/wiki/1970_Canadian_Grand_Prix
196,round_GjDbharh,21,1970-10-04,f,United States Grand Prix,12,196,21,https://en.wikipedia.org/wiki/1970_United_States_Grand_Prix
